sample_id,date,sample_mode
S001,2014-02-22,Flight
S002,2014-02-22,Ground
S003,2014-02-23,Flight
S004,2014-02-23,Ground
S005,2014-02-24,Flight
S006,2014-02-24,Ground
S007,2014-02-25,Flight
S008,2014-02-25,Ground
S009,2014-02-26,Flight
S010,2014-02-26,Ground
S011,2014-02-28,Ground
S012,2014-02-28,Ground
S013,2014-04-01,Flight
S014,2014-04-01,Ground
S015,2014-04-05,Flight
S016,2014-04-05,Ground
S017,2014-04-06,Flight
S018,2014-04-06,Ground
S019,2014-04-07,Flight
S020,2014-04-07,Ground
S021,2014-04-08,Flight
S022,2014-04-08,Ground
