Kingdom,Phylum,Class,Order,Family,Genus,S1,S2,S3,S4,S5,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S19,S20,S21,S22
k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__Phaeococcomycetaceae,g__Phaeococcomyces,48,0,0,0,0,0,0,0,0,379,799,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,NA,NA,0,0,779,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Dothiorella,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Neofusicoccum,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,NA,0,0,0,0,0,0,3529,0,0,46,0,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Phyllostictaceae,g__Phyllosticta,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Capnodiales_fam_Incertae_sedis,g__Arthrocatena,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,27373,12462,51226,3442,2718,1325,9659,5550,21885,14327,12202,5395,14990,0,4675,6483,767,3703,11763,2802
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Rachicladosporium,0,0,113,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Toxicocladosporium,0,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Verrucocladosporium,158,862,22,0,0,124,965,0,0,137,0,0,0,125,0,0,0,163,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Dissoconiaceae,g__Uwebraunia,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Neodevriesiaceae,g__Neodevriesia,239,0,447,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Neodevriesiaceae,NA,0,0,140,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Coniosporiales,f__Coniosporiaceae,g__Coniosporium,0,0,275,0,0,0,0,0,0,0,1330,1255,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothioraceae,g__Dothiora,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Saccotheciaceae,g__Aureobasidium,709,0,1029,641,0,0,0,930,1201,1305,24,566,0,0,0,0,0,0,0,440
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Saccotheciaceae,NA,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Dothideomycetes_fam_Incertae_sedis,g__Radulidium,0,0,0,0,0,0,0,669,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Extremaceae,g__Incertomyces,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Extremaceae,g__Petrophila,286,0,1968,0,0,0,0,0,0,53,0,141,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Acrodontium,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Geastrumia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0
