sample_id,chao,shannon,source
S01,70.0,0.4600204943801018,16S
S02,50.0,0.3277697193485325,16S
S03,60.0,0.3765328056453822,16S
S04,28.0,0.26418309974699966,16S
S05,26.0,0.3209419632251197,16S
S06,33.0,0.31672484700691905,16S
S07,29.0,0.40865916833617905,16S
S08,16.0,0.2253746586979575,16S
S09,25.0,0.367775057609527,16S
S10,37.0,0.34181169533172534,16S
S11,37.0,0.3854798938876514,16S
S12,38.0,0.2887217045987346,16S
S13,125.0,1.532353272691009,16S
S15,62.0,1.0311338384518296,16S
S16,103.0,1.3904052167843857,16S
S17,60.0,0.9246941143144883,16S
S18,75.0,1.6760663897891297,16S
S19,122.0,1.4800448902715855,16S
S20,118.0,1.94526584646929,16S
S21,143.0,3.521810418635844,16S
S22,80.0,1.459492432966762,16S
S01,62.0,2.4847464853671033,ITS
S02,45.0,1.597287420665185,ITS
S03,95.0,3.0467781403009018,ITS
S04,21.0,1.312828964721175,ITS
S05,27.0,1.0689366168113479,ITS
S07,12.0,1.6704905880393406,ITS
S08,19.0,2.634018150119775,ITS
S09,12.0,1.5916427901220802,ITS
S10,34.0,2.678640794193429,ITS
S11,78.0,3.2625242955525358,ITS
S12,64.0,2.449309741358666,ITS
S13,44.0,2.0355455774259084,ITS
S15,9.0,1.1878800893950539,ITS
S16,13.0,0.643762147834076,ITS
S17,12.0,1.008574327533789,ITS
S18,15.0,2.3394242789730724,ITS
S19,27.0,1.2962809435324252,ITS
S20,25.0,1.8781006277778314,ITS
S21,11.0,1.2592970265417665,ITS
S22,12.0,1.4985010538845616,ITS
