Kingdom,Phylum,Class,Order,Family,Genus,total_counts,Flight-February,Flight-April,Ground-February,Ground-April,month_presence,area_presence,presence_type
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Bryocella,47,37,10,0,0,Both months,Only Flight,Only Flight
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,200,200,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Terriglobus,166,166,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,9,9,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,26,0,26,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,378,60,192,6,120,Both months,Both sites,All sample types
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,7,7,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,323,0,221,0,102,Only April,Both sites,Only April
Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,4,0,0,4,0,Only February,Only Ground,Only February-Ground
Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia,26,0,26,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,384,56,55,57,216,Both months,Both sites,All sample types
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,135,55,24,33,23,Both months,Both sites,All sample types
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,104,15,0,21,68,Both months,Both sites,All except April-flight
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,334,112,0,210,12,Both months,Both sites,All except April-flight
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,379,24,71,20,264,Both months,Both sites,All sample types
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Williamsia,6,6,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,32,23,0,9,0,Only February,Both sites,Only February
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,10,0,0,10,0,Only February,Only Ground,Only February-Ground
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus,5,0,5,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Modestobacter,21,0,0,21,0,Only February,Only Ground,Only February-Ground
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,7,7,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,5,0,0,5,0,Only February,Only Ground,Only February-Ground
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,4,4,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,4,0,0,0,4,Only April,Only Ground,Only April-Ground
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Marisediminicola,14,14,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Rhodoluna,8,0,0,0,8,Only April,Only Ground,Only April-Ground
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Subtercola,29,0,0,0,29,Only April,Only Ground,Only April-Ground
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,21,0,0,21,0,Only February,Only Ground,Only February-Ground
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Auritidibacter,35,0,0,0,35,Only April,Only Ground,Only April-Ground
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,51,0,13,38,0,Both months,Both sites,April-Flight and February-Ground
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,41,0,0,41,0,Only February,Only Ground,Only February-Ground
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Renibacterium,225,213,0,0,12,Both months,Both sites,February-Flight and April-Ground
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,293,16,153,8,116,Both months,Both sites,All sample types
Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,40,4,17,19,0,Both months,Both sites,All except April-flight
Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,1795,507,245,412,631,Both months,Both sites,All sample types
Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Friedmanniella,11,0,11,0,0,Only April,Only Flight,Only April-Flight
